scene,patch_cal,SAR_Longitude,SAR_Latitude,SAR_Start_Time,SAR_End_Time,Detection_Time,MMSI,Sog,Cog,True_Head,AIS_Longitude,AIS_Latitude,AIS_Length,AIS_Width,Ship_Type,Nav_Status,Draught,Gross_tonnage,Deadweight,category,has_ais,_orig_order,Pred_Lat,Pred_Lon,Kalman_Lat,Kalman_Lon,Kalman_Shift_m
S1A_IW_GRDH_1SDV_20160102T221226_20160102T221251_009321_00D788_F5BA,Tanker_x6338_y14089.tif,119,38.9,1/2/2016 22:12,1/2/2016 22:12,1/2/2016 22:12,205073000,0.0,7.45,75.0,118.553352,38.863026,332,58,89,1,227,159911.0,307284.0,Tanker,True,352,38.863026,118.553352,38.863026,118.553352,0.0
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Cargo_x59544_y9518.tif,123,31.2,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,205420000,0.01,27.9,3.0,122.811615,31.24185,289,45,70,1,181,88930.0,174096.0,Cargo,True,4700,31.24185,122.811615,31.24185,122.811615,0.0
S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929,Tanker_x9237_y13180.tif,118,38.8,8/17/2016 22:12,8/17/2016 22:13,8/17/2016 22:12,205517000,0.0,0.2,274.0,118.205521,38.825851,274,48,80,1,170,81324.0,158765.0,Tanker,True,2975,38.825851,118.205521,38.825851,118.205521,0.0
S1A_IW_GRDH_1SDV_20151010T221234_20151010T221259_008096_00B5A1_5C25,Cargo_x5665_y10120.tif,119,38.9,10/10/2015 22:12,10/10/2015 22:12,10/10/2015 22:12,205569000,0.0,32.5,277.0,118.638367,38.884617,292,45,70,1,183,91971.0,175841.0,Cargo,True,249,38.884617,118.638367,38.884617,118.638367,0.0
S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F,Cargo_x6029_y13706.tif,119,38.9,1/26/2016 22:12,1/26/2016 22:12,1/26/2016 22:12,205569000,0.0,13.0,234.0,118.598648,38.893551,292,45,70,1,175,91971.0,175841.0,Cargo,True,644,38.884617,118.638367,38.89116329398664,118.60926332293987,956.3083557371164
S1A_IW_GRDH_1SDV_20160513T221231_20160513T221256_011246_011040_617A,Cargo_x7207_y12965.tif,118,38.8,5/13/2016 22:12,5/13/2016 22:12,5/13/2016 22:12,209047000,1.47,9.95,97.0,118.439034,38.817299,161,25,70,0,98,15636.0,16780.0,Cargo,True,2024,38.817299,118.439034,38.817299,118.439034,0.0
S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F,Cargo_x5431_y14052.tif,119,38.9,1/26/2016 22:12,1/26/2016 22:12,1/26/2016 22:12,209062000,0.03,16.0,241.0,118.659454,38.852047,299,49,70,1,183,106804.0,203024.0,Cargo,True,634,38.85204713341849,118.65945404912517,38.85204701778913,118.65945400655002,0.0020577759471956717
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Cargo_x55237_y9441.tif,123,31.2,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,209062000,0.02,30.080000000000002,346.0,122.66481,31.21092,299,49,70,1,115,106804.0,203024.0,Cargo,True,4614,38.85204712897121,118.65945404748767,33.25309206119498,121.59433624877177,248396.02066732582
S1A_IW_GRDH_1SDV_20160419T221227_20160419T221252_010896_01052F_69E2,Cargo_x6921_y16309.tif,118,38.7,4/19/2016 22:12,4/19/2016 22:12,4/19/2016 22:12,209191000,0.02,28.05,284.0,118.44014,38.672894,229,32,70,1,145,44323.0,81076.0,Cargo,True,1883,38.672894,118.44014,38.672894,118.44014,0.0
S1A_IW_SLC__1SDV_20160429T102500_20160429T102530_011035_01098C_EF0D,Cargo_x19513_y4351.tif,115,22.1,4/29/2016 10:25,4/29/2016 10:25,4/29/2016 10:25,209251000,2.38,22.6,225.0,114.956215,22.128967,336,45,71,0,150,108069.0,111737.0,Cargo,True,4839,22.128967,114.956215,22.128967,114.956215,0.0
S1A_IW_SLC__1SDV_20151020T102506_20151020T102536_008235_00B97C_35E5,Cargo_x1721_y2348.tif,114,22.1,10/20/2015 10:25,10/20/2015 10:25,10/20/2015 10:25,209323000,0.0,19.119999999999997,65.0,114.228729,22.09185,161,25,70,1,87,15636.0,16839.0,Cargo,True,3469,22.09185,114.228729,22.09185,114.228729,0.0
S1A_IW_SLC__1SDV_20160523T102501_20160523T102531_011385_0114CC_3E73,Cargo_x9031_y5101.tif,115,22.2,5/23/2016 10:25,5/23/2016 10:25,5/23/2016 10:25,209333000,0.05,33.1,79.0,114.529335,22.155149,184,25,70,0,98,16575.0,23200.0,Cargo,True,5538,22.155149,114.529335,22.155149,114.529335,0.0
S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1,Cargo_x5618_y12136.tif,119,38.9,6/30/2016 22:12,6/30/2016 22:12,6/30/2016 22:12,209456000,0.01,33.19,80.0,118.636108,38.861305,189,32,70,1,128,33042.0,56837.0,Cargo,True,2588,38.861305,118.636108,38.861305,118.636108,0.0
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Cargo_x52702_y9166.tif,123,31.2,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,209464000,0.01,23.48,8.0,122.582878,31.163876,183,25,79,1,98,16575.0,23380.0,Cargo,True,4587,31.163876,122.582878,31.163876,122.582878,0.0
S1A_IW_SLC__1SDV_20150914T102506_20150914T102536_007710_00AB4B_29F8,Cargo_x19810_y1499.tif,115,22.1,9/14/2015 10:25,9/14/2015 10:25,9/14/2015 10:25,209539000,1.1,9.0,90.0,114.96743,22.120533,139,23,70,0,80,9946.0,11968.0,Cargo,True,3107,22.120538026500682,114.96743085937486,22.12053367020009,114.96743011458331,0.07545178664432366
S1A_IW_SLC__1SDV_20160312T102458_20160312T102528_010335_00F4DB_2C24,Cargo_x328_y5238.tif,114,22.1,3/12/2016 10:24,3/12/2016 10:25,3/12/2016 10:24,209539000,0.06,0.01,57.0,114.163681,22.107416,139,23,70,1,69,9946.0,11968.0,Cargo,True,4239,22.12053785895066,114.96743083072903,22.110922955621557,114.3784916451837,22132.92279341649
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Cargo_x53861_y9331.tif,123,31.2,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,209540000,0.0,0.01,251.0,122.612114,31.191584,139,23,70,1,80,9946.0,11983.0,Cargo,True,3731,31.191584,122.612114,31.191584,122.612114,0.0
S1A_IW_SLC__1SDV_20150914T102506_20150914T102536_007710_00AB4B_29F8,Cargo_x3282_y2276.tif,114,22.1,9/14/2015 10:25,9/14/2015 10:25,9/14/2015 10:25,209735000,0.02,3.9,86.0,114.296669,22.095667,183,28,70,1,70,16705.0,24346.0,Cargo,True,3138,22.095667,114.296669,22.095667,114.296669,0.0
S1A_IW_GRDH_1SDV_20160419T221227_20160419T221252_010896_01052F_69E2,Cargo_x5427_y13496.tif,119,38.9,4/19/2016 22:12,4/19/2016 22:12,4/19/2016 22:12,209738000,0.0,17.97,246.0,118.669785,38.902206,300,49,70,1,184,106804.0,203027.0,Cargo,True,1875,38.902206,118.669785,38.902206,118.669785,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Cargo_x54718_y3086.tif,123,30.4,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,209811000,0.01,19.73,276.0,122.798256,30.422865,300,49,70,1,175,106804.0,203067.0,Cargo,True,3833,30.422865,122.798256,30.422865,122.798256,0.0
S1A_IW_GRDH_1SDV_20160630T221233_20160630T221258_011946_012696_1AA1,Cargo_x10778_y11937.tif,118,39.0,6/30/2016 22:12,6/30/2016 22:12,6/30/2016 22:12,209827000,0.02,31.8,63.0,118.05497,38.962017,169,27,70,1,97,,,Cargo,True,2645,38.962017,118.05497,38.962017,118.05497,0.0
S1A_IW_GRDH_1SDV_20160126T221225_20160126T221250_009671_00E1AF_228F,Cargo_x6332_y14742.tif,119,38.8,1/26/2016 22:12,1/26/2016 22:12,1/26/2016 22:12,209830000,1.69,9.8,97.0,118.539848,38.809734,175,27,79,0,980,18326.0,23338.0,Cargo,True,650,38.809734,118.539848,38.809734,118.539848,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Fishing_x33480_y661.tif,122,30.0,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,210000151,0.0,2.23,,122.102501,30.008226,0,35,30,0,0,,,Fishing,True,3657,30.008226,122.102501,30.008226,122.102501,0.0
S1A_IW_GRDH_1SDV_20150928T221239_20150928T221304_007921_00B100_32A3,Cargo_x7736_y7488.tif,118,38.8,9/28/2015 22:12,9/28/2015 22:13,9/28/2015 22:12,210146000,0.0,32.4,284.0,118.375267,38.802067,289,45,70,1,177,86734.0,170188.0,Cargo,True,160,38.802067,118.375267,38.802067,118.375267,0.0
S1A_IW_SLC__1SDV_20160525T221230_20160525T221257_011421_0115FD_E01E,Cargo_x24279_y9550.tif,118,38.9,5/25/2016 22:12,5/25/2016 22:12,5/25/2016 22:12,210156000,1.22,12.32,126.0,118.122665,38.908047,229,32,70,0,73,44289.0,81541.0,Cargo,True,5624,38.908047,118.122665,38.908047,118.122665,0.0
S1A_IW_GRDH_1SDV_20160513T221231_20160513T221256_011246_011040_617A,Cargo_x10460_y12660.tif,118,38.9,5/13/2016 22:12,5/13/2016 22:12,5/13/2016 22:12,210214000,0.01,21.119999999999997,81.0,118.076363,38.892174,229,32,70,1,128,43291.0,81001.0,Cargo,True,2101,38.892174,118.076363,38.892174,118.076363,0.0
S1A_IW_GRDH_1SDV_20160817T221236_20160817T221301_012646_013D9A_4929,Cargo_x556_y10983.tif,119,38.9,8/17/2016 22:12,8/17/2016 22:13,8/17/2016 22:12,210218000,0.0,23.57,264.0,119.236435,38.8811,300,50,70,1,180,107761.0,209472.0,Cargo,True,2830,38.8811,119.236435,38.8811,119.236435,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Cargo_x57023_y7971.tif,123,31.0,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,210296000,0.0,0.01,269.0,122.755875,31.039473,132,19,71,1,76,7170.0,8512.0,Cargo,True,3703,31.039473,122.755875,31.039473,122.755875,0.0
S1A_IW_SLC__1SDV_20160324T102458_20160324T102528_010510_00F9BF_852E,Cargo_x6087_y4900.tif,114,22.1,3/24/2016 10:24,3/24/2016 10:25,3/24/2016 10:24,210346000,1.21,8.3,81.0,114.413002,22.112499,231,32,70,0,120,35975.0,42141.0,Cargo,True,4341,22.112499,114.413002,22.112499,114.413002,0.0
S1A_IW_SLC__1SDV_20160304T095420_20160304T095447_010218_00F169_EF1C,Cargo_x41806_y9879.tif,122,31.2,3/4/2016 9:54,3/4/2016 9:54,3/4/2016 9:54,210539000,1.46,30.610000000000003,307.0,122.168816,31.189728,129,20,70,0,71,7545.0,8203.0,Cargo,True,4123,31.189728,122.168816,31.189728,122.168816,0.0
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Cargo_x49363_y6536.tif,123,30.8,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,210569000,0.0,24.04,10.0,122.531281,30.820744,147,25,70,1,89,12471.0,15213.0,Cargo,True,4638,30.820744,122.531281,30.820744,122.531281,0.0
S1A_IW_GRDH_1SDV_20160219T221225_20160219T221250_010021_00EBE1_C9D5,Cargo_x5306_y13997.tif,119,38.9,2/19/2016 22:12,2/19/2016 22:12,2/19/2016 22:12,210702000,0.0,6.590000000000001,293.0,118.673424,38.854321,292,45,70,1,183,92726.0,181600.0,Cargo,True,832,38.854321,118.673424,38.854321,118.673424,0.0
S1A_IW_GRDH_1SDV_20160525T221231_20160525T221256_011421_0115FD_6054,Cargo_x10805_y11715.tif,118,39.0,5/25/2016 22:12,5/25/2016 22:12,5/25/2016 22:12,210711000,0.0,16.8,270.0,118.058197,38.982849,189,32,70,1,120,29885.0,52544.0,Cargo,True,2376,38.982849,118.058197,38.982849,118.058197,0.0
S1A_IW_SLC__1SDV_20160515T095425_20160515T095452_011268_0110F6_EE88,Cargo_x57898_y6465.tif,123,31.0,5/15/2016 9:54,5/15/2016 9:54,5/15/2016 9:54,210711000,1.29,27.3,278.0,122.794632,31.016951,189,32,70,0,120,29885.0,52544.0,Cargo,True,5259,38.982849,118.058197,33.145921512249444,121.52876963919822,265068.5954117711
S1A_IW_SLC__1SDV_20160429T102500_20160429T102530_011035_01098C_EF0D,Cargo_x1769_y5085.tif,114,22.1,4/29/2016 10:25,4/29/2016 10:25,4/29/2016 10:25,210793000,0.0,0.01,89.0,114.229645,22.099367,133,19,70,1,680,7170.0,8200.0,Cargo,True,4765,22.099367,114.229645,22.099367,114.229645,0.0
S1A_IW_SLC__1SDV_20160511T102500_20160511T102530_011210_010F14_C7E0,Cargo_x1777_y5080.tif,114,22.1,5/11/2016 10:25,5/11/2016 10:25,5/11/2016 10:25,210793000,0.0,0.01,73.0,114.229614,22.099115,133,19,70,1,680,7170.0,8200.0,Cargo,True,4912,22.099367,114.229645,22.099182349665924,114.22962228507795,7.537428907127399
S1A_IW_GRDH_1SDV_20160114T221226_20160114T221251_009496_00DC88_46B2,Cargo_x10424_y14347.tif,118,38.9,1/14/2016 22:12,1/14/2016 22:12,1/14/2016 22:12,210930000,0.0,3.5100000000000002,127.0,118.085045,38.906055,199,0,70,1,750,35812.0,63500.0,Cargo,True,520,38.906055,118.085045,38.906055,118.085045,0.0
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Cargo_x66972_y7355.tif,123,31.0,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,210960000,1.21,34.9,350.0,123.117218,31.009768,224,32,70,0,139,39041.0,73902.0,Cargo,True,4720,31.009768,123.117218,31.009768,123.117218,0.0
S1A_IW_SLC__1SDV_20160304T095420_20160304T095447_010218_00F169_EF1C,Cargo_x50152_y3300.tif,123,30.4,3/4/2016 9:54,3/4/2016 9:54,3/4/2016 9:54,211262460,0.0,15.7,157.0,122.632965,30.424931,293,32,79,1,136,53523.0,67058.0,Cargo,True,4088,30.424931,122.632965,30.424931,122.632965,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Cargo_x53617_y2868.tif,123,30.4,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,211311970,0.01,19.1,281.0,122.765137,30.390097,294,32,79,1,135,54437.0,67145.0,Cargo,True,3830,30.390097,122.765137,30.390097,122.765137,0.0
S1A_IW_SLC__1SDV_20160511T102500_20160511T102530_011210_010F14_C7E0,Cargo_x3301_y4878.tif,114,22.1,5/11/2016 10:25,5/11/2016 10:25,5/11/2016 10:25,211350460,0.02,35.2,82.0,114.299629,22.085732,278,40,79,1,140,66278.0,68824.0,Cargo,True,4907,22.085732,114.299629,22.085732,114.299629,0.0
S1A_IW_SLC__1SDV_20150925T094621_20150925T094649_007870_00AF94_3E64,Cargo_x4750_y5388.tif,123,31.1,9/25/2015 9:46,9/25/2015 9:46,9/25/2015 9:46,211377290,0.0,5.7,57.0,122.703987,31.13376,278,40,79,1,140,66278.0,68819.0,Cargo,True,3222,31.13376,122.703987,31.13376,122.703987,0.0
S1A_IW_SLC__1SDV_20160511T102500_20160511T102530_011210_010F14_C7E0,Cargo_x7164_y4280.tif,114,22.0,5/11/2016 10:25,5/11/2016 10:25,5/11/2016 10:25,211693000,0.01,35.7,87.0,114.474113,22.0396,332,43,79,1,145,94483.0,108180.0,Cargo,True,4923,22.0396,114.474113,22.0396,114.474113,0.0
S1A_IW_SLC__1SDV_20160116T095420_20160116T095447_009518_00DD1D_34CF,Cargo_x45710_y5345.tif,122,30.7,1/16/2016 9:54,1/16/2016 9:54,1/16/2016 9:54,211698000,0.64,13.34,141.0,122.421898,30.658199,332,58,79,0,230,155051.0,322398.0,Cargo,True,3789,30.658199,122.421898,30.658199,122.421898,0.0
S1A_IW_GRDH_1SDV_20161018T095407_20161018T095432_013543_015ACD_AB15,Cargo_x15674_y12118.tif,122,29.7,10/18/2016 9:54,10/18/2016 9:54,10/18/2016 9:54,211779000,0.01,28.7,17.0,122.38279,29.750156,299,40,79,1,145,75590.0,85400.0,Cargo,True,3000,29.750156,122.38279,29.750156,122.38279,0.0
S1A_IW_SLC__1SDV_20150914T102506_20150914T102536_007710_00AB4B_29F8,Other Type_x6304_y2383.tif,114,22.1,9/14/2015 10:25,9/14/2015 10:25,9/14/2015 10:25,212175000,1.1400000000000001,4.1,47.0,114.417564,22.133318,334,42,90,0,145,90645.0,101612.0,Other Type,True,3132,22.13332326071902,114.41756440709175,22.133318701429204,114.4175640542789,0.07819548818385295
S1A_IW_SLC__1SDV_20160421T095421_20160421T095448_010918_0105DD_E9F8,Other Type_x57502_y7256.tif,123,31.0,4/21/2016 9:54,4/21/2016 9:54,4/21/2016 9:54,212175000,0.02,29.7,34.0,122.796684,30.952017,334,42,90,1,145,90645.0,101612.0,Other Type,True,4634,22.13332308536172,114.41756439352201,28.595127757780418,120.55727564192125,339683.46064056625
S1A_IW_SLC__1SDV_20151020T102506_20151020T102536_008235_00B97C_35E5,Cargo_x13117_y3791.tif,115,22.4,10/20/2015 10:25,10/20/2015 10:25,10/20/2015 10:25,212232000,0.0,15.9,50.0,114.65519,22.354156,220,32,71,1,121,35824.0,42274.0,Cargo,True,3433,22.354156,114.65519,22.354156,114.65519,0.0
S1A_IW_GRDH_1SDV_20160513T221231_20160513T221256_011246_011040_617A,Cargo_x10346_y12035.tif,118,38.9,5/13/2016 22:12,5/13/2016 22:12,5/13/2016 22:12,212273000,0.0,2.1,117.0,118.10257,38.94725,229,36,70,1,147,51130.0,92018.0,Cargo,True,2086,38.94725,118.10257,38.94725,118.10257,0.0
S1A_IW_SLC__1SDV_20160312T102458_20160312T102528_010335_00F4DB_2C24,Cargo_x7143_y4658.tif,114,22.1,3/12/2016 10:24,3/12/2016 10:25,3/12/2016 10:24,212276000,0.06,14.080000000000002,82.0,114.463875,22.08707,259,32,74,1,126,40030.0,50813.0,Cargo,True,4267,22.08707,114.463875,22.08707,114.463875,0.0
S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_97D5,Cargo_x2762_y6036.tif,114,22.0,4/5/2016 10:24,4/5/2016 10:25,4/5/2016 10:24,212283000,0.01,5.35,146.0,114.435074,22.047262,170,28,71,1,92,18826.0,23558.0,Cargo,True,1609,22.047262046063516,114.43507400465406,22.047262006141803,114.43507400062055,0.0006859254827038576
S1A_IW_SLC__1SDV_20160405T102459_20160405T102529_010685_00FED5_4707,Cargo_x6266_y4392.tif,114,22.0,4/5/2016 10:24,4/5/2016 10:25,4/5/2016 10:24,212283000,0.01,5.35,146.0,114.435074,22.047262,170,28,71,1,92,18826.0,23558.0,Cargo,True,4444,22.047262044528065,114.43507400449893,22.047262011900596,114.43507400120238,0.001329075609738586
S1A_IW_SLC__1SDV_20160304T095420_20160304T095447_010218_00F169_EF1C,Cargo_x60200_y3249.tif,123,30.5,3/4/2016 9:54,3/4/2016 9:54,3/4/2016 9:54,212289000,1.21,0.29,2.0,122.981422,30.470116,170,28,70,0,77,18826.0,23629.0,Cargo,True,4023,30.470116,122.981422,30.470116,122.981422,0.0
S1A_IW_GRDH_1SDV_20150928T221239_20150928T221304_007921_00B100_32A3,Cargo_x9812_y6324.tif,118,38.9,9/28/2015 22:12,9/28/2015 22:13,9/28/2015 22:12,212304000,0.01,10.5,8.0,118.16317,38.939999,169,27,70,1,93,18252.0,22313.0,Cargo,True,185,38.939999,118.16317,38.939999,118.16317,0.0
S1A_IW_SLC__1SDV_20150914T102506_20150914T102536_007710_00AB4B_29F8,Cargo_x1985_y1563.tif,114,22.0,9/14/2015 10:25,9/14/2015 10:25,9/14/2015 10:25,212355000,0.02,0.01,77.0,114.260666,21.998167,133,19,73,1,630,7209.0,8524.0,Cargo,True,3163,21.998167092530117,114.26066600001742,21.998167012337348,114.26066600000232,0.0013718506762331326
S1A_IW_SLC__1SDV_20160511T102500_20160511T102530_011210_010F14_C7E0,Cargo_x1999_y5045.tif,114,22.1,5/11/2016 10:25,5/11/2016 10:25,5/11/2016 10:25,212355000,0.0,0.01,77.0,114.239998,22.096333,133,19,73,0,630,7209.0,8524.0,Cargo,True,4902,21.99816708944578,114.26066600001684,22.07009712190088,114.24552174165261,2972.297750164104
S1A_IW_SLC__1SDV_20160523T102501_20160523T102531_011385_0114CC_3E73,Cargo_x1967_y5055.tif,114,22.1,5/23/2016 10:25,5/23/2016 10:25,5/23/2016 10:25,212355000,0.0,0.01,101.0,114.239334,22.097,133,19,73,1,630,7209.0,8524.0,Cargo,True,5521,22.10835785457053,114.2374662850904,22.10004049885358,114.23883401252382,341.98976955316226
S1A_IW_SLC__1SDV_20151008T102506_20151008T102536_008060_00B4A7_8280,Cargo_x1993_y2299.tif,114,22.1,10/8/2015 10:25,10/8/2015 10:25,10/8/2015 10:25,212358000,0.0,0.01,325.0,114.242477,22.088224,133,19,70,1,600,7170.0,8524.0,Cargo,True,3401,22.088224,114.242477,22.088224,114.242477,0.0
